CompanyName,Year,Sales,OperatingProfit,NetIncome,OperatingActivitiesCashFlow,InvestmentActivitiesCashFlow,FinancialActivitiesCashFlow,AccountsReceivable,AccountsReceivableTurnover,AccountsReceivableTurnoverDays,CostofGoodsSold,Inventory,InventoryTurnover,InventoryTurnoverDays,InventoryTotalAssets,TotalBorrowings,FinancialCosts,TotalLiabilities,TotalCapital,DebtRatio,Bankruptcy
3S,2013,30197122857 ,1821528040 ,667759236 ,2962155040 ,-17466571239 ,15344818872 ,8473196742 ,3.56 ,102.42 ,23363622340 ,3099731862 ,7.54 ,48.43 ,67201658685 ,8525056224 ,1555314791 ,19737251560 ,67201658685 ,0.29 ,0
3S,2014,26536544619 ,-2597033516 ,-4784630461 ,2296140969 ,-6775106100 ,4638124792 ,7058047081 ,3.76 ,97.08 ,24542574555 ,2481884268 ,9.89 ,36.91 ,70382293430 ,15404001216 ,1238346496 ,27702516766 ,70382293430 ,0.39 ,0
3S,2015,21104219053 ,-4106222054 ,-5538219239 ,292361418 ,-1327762553 ,3558825372 ,5177589764 ,4.08 ,89.55 ,19807461698 ,1658159847 ,11.95 ,30.56 ,66434160421 ,13974780000 ,1460013334 ,28764621713 ,66434160421 ,0.43 ,0
3S,2016,19425637572 ,905106685 ,-3620522900 ,1896016971 ,465249093 ,-8193790971 ,6693426444 ,2.90 ,125.77 ,16195826820 ,1306137450 ,12.40 ,29.44 ,56146511586 ,13783267000 ,1055125760 ,22025788922 ,56146511586 ,0.39 ,0
3S,2017,24416495270 ,-2504608669 ,-8843109138 ,-2866331632 ,-114956088 ,3821941205 ,7038565582 ,3.47 ,105.22 ,22815135509 ,1699768011 ,13.42 ,27.19 ,52640042055 ,12984309082 ,1064379944 ,23920292885 ,52640042055 ,0.45 ,0
AJ네트웍스,2016,244971817526 ,28836759296 ,15964700118 ,-76292085938 ,-55494087282 ,156913907103 ,43068700538 ,5.69 ,64.17 ,216135058230 ,4994187975 ,43.28 ,8.43 ,806211457676 ,171935216905 ,15230232418 ,524212772891 ,806211457676 ,0.65 ,0
AJ네트웍스,2017,280266235309 ,36587199915 ,17777708180 ,-96387171547 ,-87629347415 ,153871703297 ,51093605755 ,5.49 ,66.54 ,243679035394 ,10989163882 ,22.17 ,16.46 ,974532772612 ,231708322204 ,21284548655 ,681710209543 ,974532772612 ,0.70 ,0
BYC,2016,211090628987 ,17537390335 ,7499264683 ,44625660996 ,-42788619534 ,14019922904 ,11562263262 ,18.26 ,19.99 ,142951324693 ,67357710824 ,2.12 ,171.99 ,722070198793 ,155798632739 ,5867351718 ,326833762918 ,722070198793 ,0.45 ,0
BYC,2017,195310604895 ,17137897006 ,7918746972 ,23679595946 ,-29888282164 ,8318207082 ,23544540345 ,8.30 ,44.00 ,126379874737 ,61774775746 ,2.05 ,178.41 ,738219699663 ,142794839431 ,6959781234 ,336074156327 ,738219699663 ,0.46 ,0
CJ CGV,2013,773009383320 ,68145353167 ,43078296035 ,62197089300 ,-193243555295 ,28320706740 ,63099255119 ,12.25 ,29.79 ,369928344580 ,2488989667 ,148.63 ,2.46 ,1052521818163 ,56511460324 ,22712302881 ,602758546927 ,1052521818163 ,0.57 ,0
CJ CGV,2014,864501521411 ,71444016274 ,33274125430 ,146074360316 ,-152084617260 ,22055699924 ,75326331022 ,11.48 ,31.80 ,423972682338 ,3333090760 ,127.20 ,2.87 ,1150311355611 ,74933354216 ,27711503134 ,677487370560 ,1150311355611 ,0.59 ,0
CJ CGV,2015,896776508108 ,71554751520 ,57703291801 ,129913628285 ,-150254243108 ,33256331046 ,77584671617 ,11.56 ,31.58 ,431868611575 ,3785316827 ,114.09 ,3.20 ,1216250086684 ,96320000000 ,18190486278 ,694356955620 ,1216250086684 ,0.57 ,0
CJ E&M,2013,910144585828 ,-13399975535 ,-7717076553 ,244884444423 ,-139026745642 ,53497362675 ,344945238669 ,2.64 ,138.34 ,744255216657 ,6206933707 ,119.91 ,3.04 ,2034794230826 ,206833220000 ,20565312433 ,778332416847 ,2034794230826 ,0.38 ,0
CJ E&M,2014,1154128412489 ,-2388386672 ,71311406051 ,189792325107 ,-440455868464 ,-3538179459 ,286782038249 ,4.02 ,90.70 ,935805128099 ,4989067717 ,187.57 ,1.95 ,2055759305848 ,204666480000 ,20930685191 ,730104831051 ,2055759305848 ,0.36 ,0
CJ E&M,2015,1261748400188 ,66198262139 ,-63714877075 ,317278680780 ,-206664265574 ,-101083370000 ,340151296379 ,3.71 ,98.40 ,975548221738 ,3770426099 ,258.74 ,1.41 ,1931977377585 ,62166580000 ,19203206801 ,669215887512 ,1931977377585 ,0.35 ,0
CJ씨푸드,2013,154321665165 ,7199120577 ,6411521822 ,9884261246 ,-3075709762 ,-6992641163 ,13169520582 ,11.72 ,31.15 ,121887954997 ,15285642211 ,7.97 ,45.77 ,81266483493 ,14378876030 ,2248541672 ,36742739683 ,81266483493 ,0.45 ,0
CJ씨푸드,2014,156340142197 ,6455900346 ,3272646427 ,-8423424206 ,-3435781517 ,12597688992 ,25283412245 ,6.18 ,59.03 ,123137432564 ,22104327957 ,5.57 ,65.52 ,101198139705 ,28108492061 ,2342170317 ,53865254605 ,101198139705 ,0.53 ,0
CJ씨푸드,2015,161716628351 ,5645834997 ,2552394695 ,31200322020 ,-20976405850 ,-9946065290 ,3220109311 ,50.22 ,7.27 ,128862154667 ,14372855240 ,8.97 ,40.71 ,93610372085 ,18897102675 ,2873641086 ,43591127987 ,93610372085 ,0.47 ,0
CJ제일제당,2013,4513827392000 ,290223441000 ,202846101000 ,531740425000 ,-69473297000 ,-359751961000 ,415407376000 ,10.87 ,33.59 ,3154275619000 ,534703817000 ,5.90 ,61.87 ,6216231227000 ,801660155000 ,144900229000 ,3415519817000 ,6216231227000 ,0.55 ,0
CJ제일제당,2014,4328999139000 ,313175062000 ,125055345000 ,348405266000 ,-211179361000 ,-141041401000 ,369035449000 ,11.73 ,31.12 ,3017120989000 ,478436895000 ,6.31 ,57.88 ,6137783790000 ,514376274000 ,158098505000 ,3212331652000 ,6137783790000 ,0.52 ,0
CJ제일제당,2015,4539667404000 ,328912550000 ,157826727000 ,379885261000 ,-423779545000 ,-13582578000 ,390852897000 ,11.61 ,31.43 ,3106799074000 ,474610226000 ,6.55 ,55.76 ,6409351926000 ,586504707000 ,143738614000 ,3367217008000 ,6409351926000 ,0.53 ,0
CJ제일제당,2016,4862290055000 ,288524188000 ,197322348000 ,209433565000 ,-523056328000 ,380911632000 ,485569737000 ,10.01 ,36.45 ,3349789534000 ,512887778000 ,6.53 ,55.89 ,7049220141000 ,874550797000 ,160826921000 ,3842114491000 ,7049220141000 ,0.55 ,0
CJ제일제당,2017,5267127916000 ,253126513000 ,239233707000 ,388973255000 ,-470378363000 ,-48520370000 ,503459442000 ,10.46 ,34.89 ,3661990214000 ,542793987000 ,6.75 ,54.10 ,7199609055000 ,657379498000 ,158012850000 ,3939395330000 ,7199609055000 ,0.55 ,0
CJ프레시웨이,2013,1805046093685 ,10186693265 ,-7146702697 ,-13323627306 ,-8804665774 ,25730455020 ,220015560265 ,8.20 ,44.49 ,1668884856596 ,57991467880 ,28.78 ,12.68 ,593432304565 ,90167085399 ,13516090217 ,405679070519 ,593432304565 ,0.68 ,0
CJ프레시웨이,2014,1726869396984 ,29506794136 ,11949304374 ,31731355585 ,-30505600942 ,-6466354777 ,226362438245 ,7.63 ,47.85 ,1525511104706 ,80015673478 ,19.07 ,19.14 ,648328530621 ,89420043414 ,12419908451 ,450426670579 ,648328530621 ,0.69 ,0
CJ프레시웨이,2015,1593114582474 ,37849612339 ,15473700368 ,-23191703420 ,-36502168149 ,59609242389 ,263689011859 ,6.04 ,60.41 ,1354095477399 ,125897990632 ,10.76 ,33.94 ,734724066084 ,136646023048 ,9766836945 ,522360989284 ,734724066084 ,0.71 ,0
CS,2013,23135071959 ,-8461921157 ,-9543474099 ,-4003962967 ,-1425697404 ,4562486750 ,7497922643 ,3.09 ,118.29 ,45756498167 ,6494834989 ,7.05 ,51.81 ,80334424296 ,34923710000 ,3397470318 ,60104382864 ,80334424296 ,0.75 ,0
CS,2014,52285663044 ,6155158258 ,-17864675995 ,3164849808 ,-2453778377 ,-719999500 ,6628637554 ,7.89 ,46.27 ,70954915477 ,10210038138 ,6.95 ,52.52 ,83524079692 ,37313530500 ,19343161754 ,62809069977 ,83524079692 ,0.75 ,0
CS,2015,40769771609 ,-8365943956 ,-8485157199 ,-6503446556 ,13844508362 ,-7390620500 ,1477328053 ,27.60 ,13.23 ,49684492398 ,8222589498 ,6.04 ,60.41 ,60014498241 ,28677180000 ,5370659704 ,47468045457 ,60014498241 ,0.79 ,0
CSA 코스믹,2013,25207355923 ,626988882 ,-1165318978 ,507861049 ,2425601508 ,-2679124294 ,8864037523 ,2.84 ,128.35 ,20437792793 ,2197060796 ,9.30 ,39.24 ,18739210936 ,4986986157 ,625025454 ,9965670933 ,18739210936 ,0.53 ,0
CSA 코스믹,2014,18614644295 ,-492253267 ,-718950806 ,401335150 ,332259118 ,-875191660 ,6457348016 ,2.88 ,126.62 ,15392463826 ,1929814585 ,7.98 ,45.76 ,15301363892 ,4462326157 ,343739328 ,7245366540 ,15301363892 ,0.47 ,0
CSA 코스믹,2015,19997860160 ,493858315 ,340818474 ,2170741458 ,-1216830620 ,27809570499 ,6224450816 ,3.21 ,113.61 ,15435973348 ,1677150723 ,9.20 ,39.66 ,44671814962 ,3962326157 ,460377812 ,21198689673 ,44671814962 ,0.47 ,0
CSA 코스믹,2016,34487397658 ,-4418751831 ,-5102486886 ,-6345583857 ,-19406137361 ,-102326157 ,7460836571 ,4.62 ,78.96 ,21049002338 ,4078797664 ,5.16 ,70.73 ,41891074442 ,3860000000 ,1122758888 ,10375440731 ,41891074442 ,0.25 ,0
CSA 코스믹,2017,30497697424 ,-9583058655 ,-9574133745 ,-8638986818 ,6280774703 ,-560000000 ,5579404553 ,5.47 ,66.77 ,21534452390 ,4268181649 ,5.05 ,72.34 ,30328760651 ,3300000000 ,244032634 ,6652149958 ,30328760651 ,0.22 ,0
DMS,2016,248456867113 ,15188854710 ,18174541119 ,17289165539 ,-2408285874 ,-15988815840 ,66672935656 ,3.73 ,97.95 ,214950992733 ,1840440115 ,116.79 ,3.13 ,272128822773 ,56330000000 ,3372318717 ,144922814574 ,272128822773 ,0.53 ,0
DMS,2017,265966852436 ,21222870734 ,7232563431 ,6036139021 ,-14544824835 ,17704808430 ,35253840187 ,7.54 ,48.38 ,225681104343 ,2705533213 ,83.41 ,4.38 ,279263247983 ,80841927440 ,2819871817 ,145185573737 ,279263247983 ,0.52 ,0
DRB동일,2013,141540777521 ,11784034777 ,21261008272 ,13608321205 ,-2008156030 ,-1090625520 ,27940024843 ,5.07 ,72.05 ,106201678223 ,3105504562 ,34.20 ,10.67 ,254574210370 ,43375000000 ,3268949226 ,77940099778 ,254574210370 ,0.31 ,0
DRB동일,2014,141168521511 ,13779505024 ,9726515539 ,16903377824 ,-13304669793 ,-3152473000 ,29520559962 ,4.78 ,76.33 ,105304351309 ,4243125357 ,24.82 ,14.71 ,258996213009 ,40875000000 ,3659135424 ,73833750361 ,258996213009 ,0.29 ,0
DRB동일,2015,159591245151 ,14523150673 ,10100221249 ,23289233618 ,-35709431861 ,-2885541840 ,25220432541 ,6.33 ,57.68 ,118398778641 ,6628916474 ,17.86 ,20.44 ,262548809732 ,39000000000 ,4564491640 ,68271004052 ,262548809732 ,0.26 ,0
DRB동일,2016,129988199519 ,8351654670 ,9595623535 ,10116356404 ,-18963452635 ,-1041141840 ,12689135097 ,10.24 ,35.63 ,95586395259 ,6886786112 ,13.88 ,26.30 ,273155471061 ,39000000000 ,2158716651 ,70331691641 ,273155471061 ,0.26 ,0
DRB동일,2017,121992898249 ,2793087640 ,9678793322 ,12900572045 ,-11570896775 ,-1428189120 ,11918117497 ,10.24 ,35.66 ,92791350179 ,8801288778 ,10.54 ,34.62 ,272812297692 ,39000000000 ,3465160910 ,61975598337 ,272812297692 ,0.23 ,0
DSR제강,2013,179491552236 ,4633641248 ,1814361493 ,13149573113 ,-10019953069 ,-3526377476 ,48425117507 ,3.71 ,98.47 ,158942842993 ,36729934340 ,4.33 ,84.35 ,203893138581 ,62353244837 ,2436033113 ,102542801971 ,203893138581 ,0.50 ,0
DSR제강,2014,201833397603 ,9332869349 ,7298960086 ,10371226179 ,-4469406324 ,-5350377419 ,53429591778 ,3.78 ,96.62 ,174640447542 ,33383672268 ,5.23 ,69.77 ,202111792562 ,59549433896 ,3664817471 ,93318465197 ,202111792562 ,0.46 ,0
DSR제강,2015,182681960463 ,10094943521 ,9867097775 ,33331813187 ,-6512825990 ,-25557436813 ,40280869818 ,4.54 ,80.48 ,156414299924 ,28119061777 ,5.56 ,65.62 ,184284619404 ,39864426696 ,2315939169 ,66215489550 ,184284619404 ,0.36 ,0
DSR제강,2016,172535898761 ,7664469113 ,8688443133 ,13947555647 ,-6424880212 ,-6782470683 ,43285910917 ,3.99 ,91.57 ,150334581089 ,29722256160 ,5.06 ,72.16 ,190208394906 ,33829487683 ,2262464423 ,63775622584 ,190208394906 ,0.34 ,0
DSR제강,2017,177545209650 ,2478368395 ,5015163845 ,3808806859 ,-10362062751 ,5277866479 ,45896099054 ,3.87 ,94.35 ,160016824949 ,29640737739 ,5.40 ,67.61 ,196090792109 ,39001376197 ,1372369483 ,66034487701 ,196090792109 ,0.34 ,0
E1,2013,6405853167145 ,111665614049 ,58935461969 ,64888836812 ,-59093375280 ,-15192349187 ,605702953963 ,10.58 ,34.51 ,6110698117269 ,315229964809 ,19.38 ,18.83 ,2817244127933 ,351783888422 ,31465585105 ,1720361984572 ,2817244127933 ,0.61 ,0
E1,2014,5912088310577 ,80112276032 ,43679768848 ,88474649336 ,-154123228981 ,88611353328 ,450003141344 ,13.14 ,27.78 ,5651467964835 ,236568539929 ,23.89 ,15.28 ,2705552016471 ,317154420266 ,32949823138 ,1576874844804 ,2705552016471 ,0.58 ,0
E1,2015,3822716362581 ,100215384272 ,77688185269 ,191581593785 ,6355965067 ,-115973586554 ,436822984599 ,8.75 ,41.71 ,3536310348606 ,83505169946 ,42.35 ,8.62 ,2621966672199 ,200011604494 ,33602710926 ,1426241432790 ,2621966672199 ,0.54 ,0
F&F,2013,222042660557 ,7168949805 ,8286591329 ,-8123442503 ,-32331873333 ,40370000000 ,44763015488 ,4.96 ,73.58 ,90659457122 ,69151343984 ,1.31 ,278.41 ,273483026905 ,47670000000 ,49151618 ,100359983412 ,273483026905 ,0.37 ,0
F&F,2014,301122144908 ,12023855105 ,13466852131 ,-18593205563 ,-457354337 ,19190000000 ,50578892790 ,5.95 ,61.31 ,119943282538 ,102664411581 ,1.17 ,312.42 ,317829242773 ,54775000000 ,2634457230 ,133211740233 ,317829242773 ,0.42 ,0
F&F,2015,369783642887 ,18701213900 ,11675406089 ,15666963053 ,-4643994827 ,-11150000000 ,53280209175 ,6.94 ,52.59 ,157616991189 ,109580105086 ,1.44 ,253.76 ,327918309554 ,40309940000 ,2609232797 ,133954834175 ,327918309554 ,0.41 ,0
GKL,2017,501295523773 ,108168510900 ,80538566836 ,78449269221 ,-82601311121 ,-61494558912 ,19657926443 ,25.50 ,14.31 ,354922782973 ,2293829941 ,154.73 ,2.36 ,731904311255 ,194444389 ,1967000583 ,199851863476 ,731904311255 ,0.27 ,0
GS리테일,2013,4705551542606 ,155466377091 ,122905619314 ,292759979937 ,-118600028887 ,-181987184034 ,428699233917 ,10.98 ,33.25 ,3656067616113 ,152641040889 ,23.95 ,15.24 ,2827722505496 ,209808847791 ,42037073768 ,1213825991444 ,2827722505496 ,0.43 ,0
GS리테일,2014,4958373994973 ,143374461689 ,113615932882 ,366775418415 ,-208971010342 ,-95989634464 ,369193204688 ,13.43 ,27.18 ,3899308727503 ,121564621305 ,32.08 ,11.38 ,2880508074066 ,149928835045 ,37292630889 ,1196973882321 ,2880508074066 ,0.42 ,0
